# nom	version_serveur	trame (hex) — produit par gen_golden.py, NE PAS ÉDITER
placeOrder.parent	176	000001643300343200300045555200434153480000302e30000000494445414c50524f00005553440000000000425559003230303030004d4b5400000044415900004455313233343536370000300067770030003000300030003000300030003000003000000000000000003000002d3100300000003000000030003000003000000000000030000000000030000000000000000000000030000000300030000000300000300030003000300000312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b333038003000000000312e37393736393331333438363233313537652b3330380000000000300030003000003231343734383336343700323134373438333634370030000000
placeOrder.takeProfit	176	0000016c3300343300300045555200434153480000302e30000000494445414c50524f0000555344000000000053454c4c003230303030004c4d5400312e3039323500004754430000445531323334353637000030006777003000343200300030003000300030003000003000000000000000003000002d3100300000003000000030003000003000000000000030000000000030000000000000000000000030000000300030000000300000300030003000300000312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b333038003000000000312e37393736393331333438363233313537652b3330380000000000300030003000003231343734383336343700323134373438333634370030000000
placeOrder.stopLoss	176	0000016d3300343400300045555200434153480000302e30000000494445414c50524f0000555344000000000053454c4c003230303030005354500000312e3037363535004754430000445531323334353637000030006777003100343200300030003000300030003000003000000000000000003000002d3100300000003000000030003000003000000000000030000000000030000000000000000000000030000000300030000000300000300030003000300000312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b333038003000000000312e37393736393331333438363233313537652b3330380000000000300030003000003231343734383336343700323134373438333634370030000000
placeOrder.exitJPY	176	000001653300343500300055534400434153480000302e30000000494445414c50524f00004a5059000000000053454c4c003135303030004d4b5400000044415900004455313233343536370000300067770031003000300030003000300030003000003000000000000000003000002d3100300000003000000030003000003000000000000030000000000030000000000000000000000030000000300030000000300000300030003000300000312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b333038003000000000312e37393736393331333438363233313537652b3330380000000000300030003000003231343734383336343700323134373438333634370030000000
startApi	187	000000083731003200370000
reqIds	187	00000006380031003100
reqMktData	187	0000003431003131003130303100300045555200434153480000302e30000000494445414c50524f00005553440000003000003000300000
cancelMktData	187	00000009320032003130303100
reqAccountSummary	187	0000002b36320031003930303100416c6c004e65744c69717569646174696f6e2c496e69744d617267696e52657100
cancelAccountSummary	187	0000000a36330031003930303100
reqPositions	187	000000053631003100
cancelPositions	187	000000053634003100
cancelOrder	187	00000015340031003432000000003231343734383336343700
placeOrder.parent	187	000001723300343200300045555200434153480000302e30000000494445414c50524f00005553440000000000425559003230303030004d4b54000000444159000044553132333435363700003000677700300030003000300030003000300030000030000000000000003000002d3100300000003000000030003000003000000000000030000000000030000000000000000000000030000000300030000000300000300030003000300000312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b333038003000000000312e37393736393331333438363233313537652b3330380000000000300030003000003231343734383336343700323134373438333634370030000000003000003231343734383336343700
placeOrder.takeProfit	187	0000017a3300343300300045555200434153480000302e30000000494445414c50524f0000555344000000000053454c4c003230303030004c4d5400312e30393235000047544300004455313233343536370000300067770030003432003000300030003000300030000030000000000000003000002d3100300000003000000030003000003000000000000030000000000030000000000000000000000030000000300030000000300000300030003000300000312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b333038003000000000312e37393736393331333438363233313537652b3330380000000000300030003000003231343734383336343700323134373438333634370030000000003000003231343734383336343700
placeOrder.stopLoss	187	0000017b3300343400300045555200434153480000302e30000000494445414c50524f0000555344000000000053454c4c003230303030005354500000312e30373635350047544300004455313233343536370000300067770031003432003000300030003000300030000030000000000000003000002d3100300000003000000030003000003000000000000030000000000030000000000000000000000030000000300030000000300000300030003000300000312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b333038003000000000312e37393736393331333438363233313537652b3330380000000000300030003000003231343734383336343700323134373438333634370030000000003000003231343734383336343700
placeOrder.exitJPY	187	000001733300343500300055534400434153480000302e30000000494445414c50524f00004a5059000000000053454c4c003135303030004d4b54000000444159000044553132333435363700003000677700310030003000300030003000300030000030000000000000003000002d3100300000003000000030003000003000000000000030000000000030000000000000000000000030000000300030000000300000300030003000300000312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b33303800312e37393736393331333438363233313537652b333038003000000000312e37393736393331333438363233313537652b3330380000000000300030003000003231343734383336343700323134373438333634370030000000003000003231343734383336343700
